 136   5.37653921e+02  4.38926477e-02  2.73e+02 6.24e-01  9.60e+02  1.01e+03  3.07e+00 3.30e+03 1.01e+03  2.53e-01 8.31e-03   3741s
 137   5.49269731e+02  4.38926477e-02  2.79e+02 6.19e-01  9.54e+02  1.03e+03  3.05e+00 3.36e+03 1.03e+03  2.47e-01 7.84e-03   3768s
 138   5.60510550e+02  4.38926477e-02  2.84e+02 6.14e-01  9.47e+02  1.06e+03  3.03e+00 3.42e+03 1.06e+03  2.41e-01 7.41e-03   3795s
 139   5.71418551e+02  4.38926477e-02  2.90e+02 6.10e-01  9.41e+02  1.08e+03  3.01e+00 3.48e+03 1.08e+03  2.35e-01 7.03e-03   3822s
 140   4.47841203e+02  4.19385361e-02  2.27e+02 4.78e-01  7.53e+02  7.88e-01  2.99e+00 3.53e+03 1.10e+03  8.00e-01 2.16e-01   3848s
 141   4.64863003e+02  4.19385361e-02  2.36e+02 4.71e-01  7.43e+02  8.20e+02  3.24e+00 4.12e+03 8.20e+02  3.22e-01 1.47e-02   3875s
 142   4.81145834e+02  4.19385361e-02  2.44e+02 4.64e-01  7.34e+02  8.50e+02  3.21e+00 4.24e+03 8.50e+02  3.12e-01 1.35e-02   3901s
 143   4.96788272e+02  4.19385361e-02  2.52e+02 4.59e-01  7.26e+02  8.80e+02  3.18e+00 4.34e+03 8.80e+02  3.02e-01 1.26e-02   3929s
 144   5.11850998e+02  4.19385361e-02  2.60e+02 4.53e-01  7.18e+02  9.09e+02  3.16e+00 4.45e+03 9.09e+02  2.93e-01 1.17e-02   3956s
 145   5.26347303e+02  4.19385361e-02  2.67e+02 4.48e-01  7.11e+02  9.38e+02  3.13e+00 4.55e+03 9.38e+02  2.85e-01 1.09e-02   3983s
 146   5.40333392e+02  4.19385361e-02  2.74e+02 4.44e-01  7.05e+02  9.66e+02  3.11e+00 4.65e+03 9.66e+02  2.77e-01 1.02e-02   4010s
 147   5.53834714e+02  4.19385361e-02  2.81e+02 4.39e-01  6.98e+02  9.93e+02  3.09e+00 4.75e+03 9.93e+02  2.69e-01 9.62e-03   4037s
 148   5.66862887e+02  4.19385361e-02  2.88e+02 4.35e-01  6.93e+02  1.02e+03  3.06e+00 4.84e+03 1.02e+03  2.62e-01 9.03e-03   4064s
 149   5.79455198e+02  4.19385361e-02  2.94e+02 4.32e-01  6.87e+02  1.05e+03  3.04e+00 4.93e+03 1.05e+03  2.56e-01 8.51e-03   4091s
 150   5.91646727e+02  4.19385361e-02  3.01e+02 4.28e-01  6.82e+02  1.07e+03  3.02e+00 5.02e+03 1.07e+03  2.49e-01 8.03e-03   4118s
