
--------------- Linear optimization problem characteristics ---------------
Seed:                    34
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.37e-02
Norm of vector c:        2.78e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.006 -0.011 -0.001 ... -0.003 +0.009 -0.004]
                          [+0.006 +0.005 -0.004 ... -0.008 -0.006 +0.005]]

RHS vector b:            [+0.014 -0.000]
Obj vector c:            [-0.006 -0.016 -0.006 ... -0.013 +0.011 -0.003]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.001 +0.027 +0.003 ... +0.022 +0.032 +0.028]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.793 +0.887]

Optimal objective:       +2.44394790e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.12101829e+01 -9.48853173e-02  2.98e-01 4.41e+01  4.83e+04 *4.44e-16  4.00e+00 1.00e+00 5.94e+00  9.77e-01 9.56e-01     39s
  90  -2.78913558e+02 -3.39363598e-02  2.12e+02 1.33e+01  1.64e+04  9.62e+02  3.95e+00 1.46e+02 9.62e+02  1.79e-01 3.80e-03   4879s
  91  -2.82686091e+02 -3.39363598e-02  2.14e+02 1.33e+01  1.63e+04  9.77e+02  3.96e+00 1.48e+02 9.77e+02  1.76e-01 3.66e-03   4926s
  92  -2.86366931e+02 -3.39363598e-02  2.17e+02 1.32e+01  1.63e+04  9.92e+02  3.97e+00 1.50e+02 9.92e+02  1.73e-01 3.52e-03   4972s
  93  -2.89968982e+02 -3.39363598e-02  2.20e+02 1.32e+01  1.62e+04  1.01e+03  3.99e+00 1.51e+02 1.01e+03  1.70e-01 3.39e-03   5019s
  94  -2.93490279e+02 -3.39363598e-02  2.22e+02 1.31e+01  1.62e+04  1.02e+03  4.00e+00 1.53e+02 1.02e+03  1.67e-01 3.27e-03   5065s
  95  -2.66811411e+02 -2.67892170e-02  2.02e+02 1.20e+01  1.49e+04  7.92e-01  4.01e+00 1.55e+02 1.04e+03  6.37e-01 9.02e-02   5107s
  96  -2.71226321e+02 -2.67892170e-02  2.06e+02 1.19e+01  1.48e+04  9.18e+02  3.91e+00 1.60e+02 9.18e+02  1.93e-01 4.58e-03   5153s
  97  -2.75449724e+02 -2.67892170e-02  2.09e+02 1.19e+01  1.47e+04  9.34e+02  3.92e+00 1.62e+02 9.34e+02  1.89e-01 4.30e-03   5200s
  98  -2.79571505e+02 -2.67892170e-02  2.12e+02 1.18e+01  1.47e+04  9.49e+02  3.93e+00 1.64e+02 9.49e+02  1.86e-01 4.13e-03   5247s
  99  -2.83593870e+02 -2.67892170e-02  2.15e+02 1.18e+01  1.46e+04  9.65e+02  3.94e+00 1.66e+02 9.65e+02  1.82e-01 3.97e-03   5294s
 100  -2.87522939e+02 -2.67892170e-02  2.18e+02 1.17e+01  1.46e+04  9.80e+02  3.95e+00 1.69e+02 9.80e+02  1.79e-01 3.82e-03   5359s
 101  -2.91360689e+02 -2.67892170e-02  2.21e+02 1.17e+01  1.45e+04  9.95e+02  3.96e+00 1.71e+02 9.95e+02  1.76e-01 3.67e-03   5459s
 102  -2.95105331e+02 -2.67892170e-02  2.23e+02 1.16e+01  1.45e+04  1.01e+03  3.98e+00 1.73e+02 1.01e+03  1.73e-01 3.53e-03   5554s
 103  -2.98769980e+02 -2.67892170e-02  2.26e+02 1.16e+01  1.44e+04  1.03e+03  3.99e+00 1.75e+02 1.03e+03  1.70e-01 3.41e-03   5654s
 104  -3.02352622e+02 -2.67892170e-02  2.29e+02 1.16e+01  1.44e+04  1.04e+03  4.00e+00 1.77e+02 1.04e+03  1.67e-01 3.28e-03   5756s
 105  -2.75615119e+02 -2.06721571e-02  2.09e+02 1.05e+01  1.32e+04  9.46e-01  4.01e+00 1.79e+02 1.05e+03  6.32e-01 8.78e-02   5811s
 106  -2.80030104e+02 -2.06721571e-02  2.12e+02 1.05e+01  1.32e+04  9.37e+02  3.91e+00 1.84e+02 9.37e+02  1.93e-01 4.51e-03   5856s
