
--------------- Linear optimization problem characteristics ---------------
Seed:                    15
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.27e-02
Norm of vector c:        2.25e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.010 -0.010 -0.011 ... +0.008 +0.011 +0.014]
                          [+0.015 -0.004 -0.012 ... +0.010 +0.016 +0.014]]

RHS vector b:            [+0.011 +0.006]
Obj vector c:            [-0.009 -0.006 +0.004 ... -0.005 -0.010 -0.002]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.029 +0.006 +0.002 ... +0.032 +0.002 +0.015]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.322 -1.501]

Optimal objective:       +5.09447745e-03
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
  82   3.39264498e+02  1.10342017e-02  4.08e+02 8.44e-01  1.18e+03  2.29e+03  3.40e+00 4.43e+03 2.29e+03  1.37e-01 2.17e-03   4337s
  83   3.42829989e+02  1.10342017e-02  4.12e+02 8.42e-01  1.18e+03  2.32e+03  3.39e+00 4.48e+03 2.32e+03  1.35e-01 2.11e-03   4384s
  84   3.46347291e+02  1.10342017e-02  4.16e+02 8.40e-01  1.18e+03  2.35e+03  3.39e+00 4.54e+03 2.35e+03  1.34e-01 2.05e-03   4430s
  85   3.49823743e+02  1.10342017e-02  4.20e+02 8.39e-01  1.17e+03  2.38e+03  3.38e+00 4.59e+03 2.38e+03  1.32e-01 1.99e-03   4476s
  86   3.53252718e+02  1.10342017e-02  4.23e+02 8.37e-01  1.17e+03  2.41e+03  3.38e+00 4.65e+03 2.41e+03  1.30e-01 1.93e-03   4523s
  87   3.56638010e+02  1.10342017e-02  4.27e+02 8.36e-01  1.17e+03  2.44e+03  3.37e+00 4.70e+03 2.44e+03  1.28e-01 1.88e-03   4569s
  88   3.59983300e+02  1.10342017e-02  4.31e+02 8.34e-01  1.17e+03  2.48e+03  3.37e+00 4.75e+03 2.48e+03  1.27e-01 1.83e-03   4642s
  89   3.63285548e+02  1.10342017e-02  4.35e+02 8.33e-01  1.17e+03  2.51e+03  3.36e+00 4.81e+03 2.51e+03  1.25e-01 1.78e-03   4737s
  90   3.66548369e+02  1.10342017e-02  4.38e+02 8.31e-01  1.16e+03  2.54e+03  3.36e+00 4.86e+03 2.54e+03  1.24e-01 1.73e-03   4828s
  91   3.69772045e+02  1.10342017e-02  4.42e+02 8.30e-01  1.16e+03  2.57e+03  3.35e+00 4.91e+03 2.57e+03  1.22e-01 1.69e-03   4918s
  92   3.72956863e+02  1.10342017e-02  4.46e+02 8.28e-01  1.16e+03  2.60e+03  3.35e+00 4.97e+03 2.60e+03  1.21e-01 1.65e-03   5013s
  93   3.76103118e+02  1.10342017e-02  4.49e+02 8.27e-01  1.16e+03  2.63e+03  3.34e+00 5.02e+03 2.63e+03  1.19e-01 1.60e-03   5081s
  94   3.79214222e+02  1.10342017e-02  4.52e+02 8.26e-01  1.16e+03  2.66e+03  3.34e+00 5.07e+03 2.66e+03  1.18e-01 1.56e-03   5127s
  95   3.82290412e+02  1.10342017e-02  4.56e+02 8.24e-01  1.15e+03  2.69e+03  3.33e+00 5.12e+03 2.69e+03  1.16e-01 1.52e-03   5171s
  96   3.85328890e+02  1.10342017e-02  4.59e+02 8.23e-01  1.15e+03  2.72e+03  3.33e+00 5.17e+03 2.72e+03  1.15e-01 1.49e-03   5215s
  97   3.88335982e+02  1.10342017e-02  4.63e+02 8.22e-01  1.15e+03  2.75e+03  3.32e+00 5.23e+03 2.75e+03  1.14e-01 1.45e-03   5260s
  98   3.91305928e+02  1.10342017e-02  4.66e+02 8.21e-01  1.15e+03  2.78e+03  3.32e+00 5.28e+03 2.78e+03  1.12e-01 1.42e-03   5306s
  99   3.94244928e+02  1.10342017e-02  4.69e+02 8.20e-01  1.15e+03  2.81e+03  3.31e+00 5.33e+03 2.81e+03  1.11e-01 1.38e-03   5348s
 100   3.97153181e+02  1.10342017e-02  4.72e+02 8.19e-01  1.15e+03  2.84e+03  3.31e+00 5.38e+03 2.84e+03  1.10e-01 1.35e-03   5395s
 101   4.00028011e+02  1.10342017e-02  4.75e+02 8.18e-01  1.15e+03  2.86e+03  3.30e+00 5.43e+03 2.86e+03  1.09e-01 1.32e-03   5484s
 102   4.02872530e+02  1.10342017e-02  4.79e+02 8.16e-01  1.14e+03  2.89e+03  3.30e+00 5.48e+03 2.89e+03  1.07e-01 1.29e-03   5578s
 103   4.05686948e+02  1.10342017e-02  4.82e+02 8.15e-01  1.14e+03  2.92e+03  3.29e+00 5.53e+03 2.92e+03  1.06e-01 1.26e-03   5627s
 104   4.08474265e+02  1.10342017e-02  4.85e+02 8.14e-01  1.14e+03  2.95e+03  3.29e+00 5.58e+03 2.95e+03  1.05e-01 1.23e-03   5672s
 105   4.11229124e+02  1.10342017e-02  4.88e+02 8.13e-01  1.14e+03  2.98e+03  3.28e+00 5.63e+03 2.98e+03  1.04e-01 1.20e-03   5721s
 106   4.13957258e+02  1.10342017e-02  4.91e+02 8.13e-01  1.14e+03  3.01e+03  3.28e+00 5.68e+03 3.01e+03  1.03e-01 1.18e-03   5770s
