
--------------- Linear optimization problem characteristics ---------------
Seed:                    78
Number of variables:     8
Number of constraints:   2

Norm of primal sol:      4.19e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        6.27e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.228 +0.253 -0.020 +0.268 +0.117 -0.180 +0.153 -0.020]
                          [+0.412 -0.423 +0.365 +0.387 +0.403 +0.413 +0.155 +0.060]]

RHS vector b:            [+1.108 +1.665]
Obj vector c:            [-2.397 -2.416 +0.096 -2.785 +3.559 +1.681 -1.573 +1.420]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.124 +1.757 +2.061 +2.064 +0.000 +1.146 +2.145 +0.000]
Dual slacks:              [+0.000 +0.000 +0.000 +0.000 +4.844 +0.000 +0.000 +1.237]
Dual variables:           [-9.996 -0.279]

Optimal objective:       -1.15405580e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
  99  -2.24019132e+02 -3.88088038e+00  3.38e+01 4.78e+00  1.28e+02  2.34e+02  3.81e+00 6.37e+01 2.34e+02  9.96e-02 1.21e-03     13s
 100  -2.26038494e+02 -3.88088038e+00  3.41e+01 4.78e+00  1.28e+02  2.38e+02  3.82e+00 6.49e+01 2.38e+02  9.86e-02 1.18e-03     13s
 101  -2.28050366e+02 -3.88088038e+00  3.43e+01 4.77e+00  1.28e+02  2.43e+02  3.84e+00 6.61e+01 2.43e+02  9.75e-02 1.15e-03     14s
 102  -2.30050629e+02 -3.88088038e+00  3.45e+01 4.76e+00  1.28e+02  2.47e+02  3.86e+00 6.73e+01 2.47e+02  9.64e-02 1.13e-03     14s
 103  -2.32041175e+02 -3.88088038e+00  3.48e+01 4.76e+00  1.28e+02  2.52e+02  3.88e+00 6.86e+01 2.52e+02  9.54e-02 1.10e-03     14s
 104  -2.34023887e+02 -3.88088038e+00  3.50e+01 4.75e+00  1.28e+02  2.56e+02  3.90e+00 6.98e+01 2.56e+02  9.44e-02 1.08e-03     15s
 105  -2.35994715e+02 -3.88088038e+00  3.53e+01 4.75e+00  1.28e+02  2.61e+02  3.92e+00 7.11e+01 2.61e+02  9.34e-02 1.05e-03     15s
 106  -2.37957499e+02 -3.88088038e+00  3.55e+01 4.74e+00  1.27e+02  2.66e+02  3.94e+00 7.24e+01 2.66e+02  9.25e-02 1.03e-03     15s
 107  -2.39912142e+02 -3.88088038e+00  3.57e+01 4.74e+00  1.27e+02  2.70e+02  3.95e+00 7.36e+01 2.70e+02  9.16e-02 1.01e-03     16s
 108  -2.41856608e+02 -3.88088038e+00  3.60e+01 4.73e+00  1.27e+02  2.75e+02  3.97e+00 7.49e+01 2.75e+02  9.06e-02 9.88e-04     16s

The solution quality is limited by the precision of the linear system solver.

The algorithm stopped after 109 iterations in 15.85 seconds.

Primal variables:   [+25.971 +31.644 +10.965 +43.607 +4.889 +8.778 +16.632 +7.899]
Dual slacks:        [+0.384 +0.313 +1.666 +0.182 +5.031 +2.486 +0.790 +2.729]
Dual variables:     [-3.255 -0.165]

